employeeid,lastname,firstname,middlename,contact,address,email,hiredate,sss_number,pagibig_number,philhealth_number,bir_number,leavecredit,department,position,shiftstart,shiftend,type,employeeimage
"1","Doe","John","M","09178306377","1 Employee St","employee1@example.com","Sat Jan 01 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS300","PAG300","PH300","BIR300","15.00","Office","Slitting","15:30:00","19:30:00","Regular",""
"2","Doe","Jane","M","09172959888","2 Employee St","employee2@example.com","Sun Jan 02 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS301","PAG301","PH301","BIR301","9.00","Production","Office","11:30:00","19:30:00","Regular",""
"3","Doe","Mike","M","09177377148","3 Employee St","employee3@example.com","Mon Jan 03 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS302","PAG302","PH302","BIR302","3.00","Office","Quality Assurance","14:30:00","19:30:00","Contractual",""
"4","Doe","Anna","M","09172160538","4 Employee St","employee4@example.com","Tue Jan 04 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS303","PAG303","PH303","BIR303","16.00","Office","Delivery","16:00:00","19:00:00","Resigned",""
"5","Doe","Paul","M","09177403079","5 Employee St","employee5@example.com","Wed Jan 05 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS304","PAG304","PH304","BIR304","13.00","Office","Delivery","07:30:00","13:30:00","Regular",""
"6","Doe","Mary","M","09176413574","6 Employee St","employee6@example.com","Thu Jan 06 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS305","PAG305","PH305","BIR305","9.00","Office","Cutting","14:00:00","19:00:00","Resigned",""
"7","Doe","Chris","M","09172318834","7 Employee St","employee7@example.com","Fri Jan 07 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS306","PAG306","PH306","BIR306","11.00","Production","Manual","16:00:00","19:00:00","Resigned",""
"8","Doe","Laura","M","09176610076","8 Employee St","employee8@example.com","Sat Jan 08 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS307","PAG307","PH307","BIR307","5.00","Office","Manual","11:00:00","19:00:00","Regular",""
"9","Doe","David","M","09174510884","9 Employee St","employee9@example.com","Sun Jan 09 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS308","PAG308","PH308","BIR308","18.00","Office","Utility","12:00:00","19:00:00","Regular",""
"10","Doe","Emma","M","09173886191","10 Employee St","employee10@example.com","Mon Jan 10 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS309","PAG309","PH309","BIR309","4.00","Office","Office","15:00:00","19:00:00","Contractual",""
"11","Smith","John","M","09174225410","11 Employee St","employee11@example.com","Tue Jan 11 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS310","PAG310","PH310","BIR310","10.00","Office","Delivery","15:00:00","19:00:00","Resigned",""
"12","Smith","Jane","M","09177690241","12 Employee St","employee12@example.com","Wed Jan 12 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS311","PAG311","PH311","BIR311","18.00","Production","Maintenance","16:00:00","19:00:00","Regular",""
"13","Smith","Mike","M","09174820693","13 Employee St","employee13@example.com","Thu Jan 13 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS312","PAG312","PH312","BIR312","17.00","Production","Cutting","12:30:00","19:30:00","Contractual",""
"14","Smith","Anna","M","09176631571","14 Employee St","employee14@example.com","Fri Jan 14 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS313","PAG313","PH313","BIR313","11.00","Office","Warehouse","16:00:00","19:00:00","Resigned",""
"15","Smith","Paul","M","09178593420","15 Employee St","employee15@example.com","Sat Jan 15 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS314","PAG314","PH314","BIR314","13.00","Production","Slitting","14:30:00","19:30:00","Contractual",""
"16","Smith","Mary","M","09178523350","16 Employee St","employee16@example.com","Sun Jan 16 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS315","PAG315","PH315","BIR315","2.00","Production","Utility","12:30:00","19:30:00","Regular",""
"17","Smith","Chris","M","09179499771","17 Employee St","employee17@example.com","Mon Jan 17 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS316","PAG316","PH316","BIR316","5.00","Office","Slitting","07:30:00","13:30:00","Regular",""
"18","Smith","Laura","M","09178276282","18 Employee St","employee18@example.com","Tue Jan 18 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS317","PAG317","PH317","BIR317","7.00","Office","Supervisor","14:30:00","19:30:00","Contractual",""
"19","Smith","David","M","09179963430","19 Employee St","employee19@example.com","Wed Jan 19 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS318","PAG318","PH318","BIR318","6.00","Production","Printing","15:30:00","19:30:00","Resigned",""
"20","Smith","Emma","M","09177985950","20 Employee St","employee20@example.com","Thu Jan 20 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS319","PAG319","PH319","BIR319","11.00","Production","Manual","08:30:00","14:30:00","Contractual",""
"21","Johnson","John","M","09176596756","21 Employee St","employee21@example.com","Fri Jan 21 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS320","PAG320","PH320","BIR320","14.00","Production","Printing","08:00:00","14:00:00","Contractual",""
"22","Johnson","Jane","M","09171117386","22 Employee St","employee22@example.com","Sat Jan 22 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS321","PAG321","PH321","BIR321","10.00","Production","Supervisor","15:00:00","19:00:00","Resigned",""
"23","Johnson","Mike","M","09179691765","23 Employee St","employee23@example.com","Sun Jan 23 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS322","PAG322","PH322","BIR322","13.00","Office","Warehouse","12:30:00","19:30:00","Contractual",""
"24","Johnson","Anna","M","09174603254","24 Employee St","employee24@example.com","Mon Jan 24 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS323","PAG323","PH323","BIR323","11.00","Office","Printing","07:00:00","15:00:00","Contractual",""
"25","Johnson","Paul","M","09178707782","25 Employee St","employee25@example.com","Tue Jan 25 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS324","PAG324","PH324","BIR324","12.00","Production","Slitting","16:00:00","19:00:00","Regular",""
"26","Johnson","Mary","M","09178175409","26 Employee St","employee26@example.com","Wed Jan 26 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS325","PAG325","PH325","BIR325","15.00","Office","Extrusion","07:30:00","13:30:00","Resigned",""
"27","Johnson","Chris","M","09175245231","27 Employee St","employee27@example.com","Thu Jan 27 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS326","PAG326","PH326","BIR326","11.00","Production","Delivery","14:00:00","19:00:00","Resigned",""
"28","Johnson","Laura","M","09179523693","28 Employee St","employee28@example.com","Fri Jan 28 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS327","PAG327","PH327","BIR327","9.00","Production","Manual","12:30:00","19:30:00","Contractual",""
"29","Johnson","David","M","09179512048","29 Employee St","employee29@example.com","Sat Jan 01 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS328","PAG328","PH328","BIR328","12.00","Office","Printing","11:30:00","19:30:00","Resigned",""
"30","Johnson","Emma","M","09177285801","30 Employee St","employee30@example.com","Sun Jan 02 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS329","PAG329","PH329","BIR329","10.00","Production","Manual","13:30:00","19:30:00","Resigned",""
"31","Brown","John","M","09173118567","31 Employee St","employee31@example.com","Mon Jan 03 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS330","PAG330","PH330","BIR330","13.00","Production","Manual","13:00:00","19:00:00","Resigned",""
"32","Brown","Jane","M","09172460303","32 Employee St","employee32@example.com","Tue Jan 04 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS331","PAG331","PH331","BIR331","0.00","Office","Quality Assurance","16:00:00","19:00:00","Regular",""
"33","Brown","Mike","M","09173887962","33 Employee St","employee33@example.com","Wed Jan 05 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS332","PAG332","PH332","BIR332","13.00","Office","Printing","08:00:00","14:00:00","Resigned",""
"34","Brown","Anna","M","09176367962","34 Employee St","employee34@example.com","Thu Jan 06 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS333","PAG333","PH333","BIR333","7.00","Production","Utility","16:30:00","19:30:00","Regular",""
"35","Brown","Paul","M","09176919977","35 Employee St","employee35@example.com","Fri Jan 07 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS334","PAG334","PH334","BIR334","4.00","Office","Quality Assurance","13:30:00","19:30:00","Resigned",""
"36","Brown","Mary","M","09173001661","36 Employee St","employee36@example.com","Sat Jan 08 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS335","PAG335","PH335","BIR335","0.00","Production","Slitting","11:30:00","19:30:00","Contractual",""
"37","Brown","Chris","M","09177468129","37 Employee St","employee37@example.com","Sun Jan 09 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS336","PAG336","PH336","BIR336","5.00","Office","Extrusion","12:00:00","19:00:00","Contractual",""
"38","Brown","Laura","M","09179476750","38 Employee St","employee38@example.com","Mon Jan 10 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS337","PAG337","PH337","BIR337","0.00","Office","Supervisor","14:00:00","19:00:00","Regular",""
"39","Brown","David","M","09178339221","39 Employee St","employee39@example.com","Tue Jan 11 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS338","PAG338","PH338","BIR338","5.00","Production","Manual","07:30:00","13:30:00","Regular",""
"40","Brown","Emma","M","09178361037","40 Employee St","employee40@example.com","Wed Jan 12 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS339","PAG339","PH339","BIR339","6.00","Production","Warehouse","16:30:00","19:30:00","Resigned",""
"41","Williams","John","M","09175318310","41 Employee St","employee41@example.com","Thu Jan 13 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS340","PAG340","PH340","BIR340","18.00","Office","Supervisor","11:00:00","19:00:00","Regular",""
"42","Williams","Jane","M","09177326010","42 Employee St","employee42@example.com","Fri Jan 14 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS341","PAG341","PH341","BIR341","7.00","Office","Printing","08:30:00","14:30:00","Contractual",""
"43","Williams","Mike","M","09174519351","43 Employee St","employee43@example.com","Sat Jan 15 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS342","PAG342","PH342","BIR342","18.00","Office","Supervisor","14:00:00","19:00:00","Contractual",""
"44","Williams","Anna","M","09174071791","44 Employee St","employee44@example.com","Sun Jan 16 2022 00:00:00 GMT+0800 (Philippine Standard Time)","SSS343","PAG343","PH343","BIR343","17.00","Production","Printing","14:00:00","19:00:00","Resigned",""
